url,title,type,published,price,maintenance,size,rooms,broker,address,google_maps_pin,secondary_attributes,description
https://www.portalinmobiliario.com/MLC-1473485343-departamento-av-valparaiso-cercano-terminal-de-buses-vina-_JM#position=14&search_layout=grid&type=item&tracking_id=a8f20a8d-3333-4e0d-9590-c0670d54d975,"Departamento Av. Valparaiso Cercano Terminal De Buses, Viña",Departamento en Venta,Publicado hace 9 meses,UF3.100,Gastos comunes aproximados $ 75.000, 55 m² totales," 2 dormitorios, 1 baño",Alterman Propiedades,"Avenida Valparaíso 309, Viña Del Mar, Chile, Centro de Viña del Mar, Viña Del Mar, Valparaíso",https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=-33.0240529%2C-71.5582458&zoom=16&size=732x300&signature=lJ6Ah7fzETIsYgBYyXVzAdyabiQ=,"Orientación: NO,Piscina: Sí,Admite mascotas: Sí,Antigüedad: 15 años,Bodegas: 0,Ascensor: Sí,Terraza: Sí,Estacionamientos: 0,Número de piso de la unidad: 11","Departamento en venta muy central, a pasos de terminal de buses de Viña del Mar, centros comerciales y educacionales.El departamento cuenta con living-comedor, cocina americana, 2 dormitorios, 1 baños, terraza, no tiene estacionamiento ni bodega.El edificio cuenta con conserjería, Áreas verdes, piscina exterior, lavandería, gimnasio y sala multiuso. Valor de venta UF 3.100  Gastos comunes de $75.00055 M2 construidos app.VENDE @altermanpropiedades"
https://www.portalinmobiliario.com/MLC-2300715978-oportunidad-de-inversion-sector-casino-_JM#position=30&search_layout=grid&type=item&tracking_id=934d7474-0e2c-4d76-a33a-1391aa2fbfac,Oportunidad De Inversión!! Sector Casino ,Departamento en Venta,Publicado hace 3 meses,$135.000.000,Gastos comunes aproximados $ 70.000, 65 m² totales," 2 dormitorios, 1 baño",Rentadeco,"3 Norte  160, Libertad, Viña Del Mar, Valparaíso",https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=-33.0192696%2C-71.5578634&zoom=16&size=732x300&signature=ih-uxWatK8Ba95moiS7ggoO8rg8=,Estacionamientos: 1,"Departamento en excelente ubicación  y buena inversión .  3 Norte con 5 poniente, a pasos del casino, restaurantes, playas, locomoción, centros comerciales, centro de la ciudad,  etc. Se encuentra en un 2do piso, No tiene terraza. Consta de Living / comedor amplio Cocina tradicional 2 dormitorios amplios 1 Baño completo Con opción de utilizar el estacionamiento de visitas.  Gastos comunes $80.000  Contribuciones $39.000 Entrega inmediata."
https://www.portalinmobiliario.com/MLC-2390305278-departamento-1-habitacion-terraza-vina-del-mar-_JM#position=1&search_layout=grid&type=item&tracking_id=702ed57e-de0c-4267-8a66-35ad736e057b,"Departamento 1 Habitacion, Terraza Viña Del Mar",Departamento en Venta,Publicado hace 10 meses,$95.000.000,Gastos comunes aproximados $ 80.000, 38 m² totales," 1 dormitorio, 1 baño",Kl Propiedades,"Von Schroeder 275, 2571524 Viña Del Mar, Valparaíso, Chile, Centro de Viña del Mar, Viña Del Mar, Valparaíso",https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=-33.0246138%2C-71.561388&zoom=16&size=732x300&signature=6T9ycJCHQBBpda45YQPrAGt09HU=,"Piscina: Sí,Estacionamientos: 0,Terraza: Sí,Antigüedad: 10 años",Espectacular departamento centro de viña del mar1 habitacion1 bañoCocina concepto abiertoTerraza Conserjería 24 horasCercano a metro. A 1 cuadra Cercano a locales comerciales y supermercados OFERTAAAAA!!!!!
https://www.portalinmobiliario.com/MLC-1487467901-venta-departamento-1hab-2ba-vina-del-mar-_JM#position=4&search_layout=grid&type=item&tracking_id=a3297815-081c-4006-89c2-cb0a023ec59a,Venta Departamento 1hab 2ba Viña Del Mar,Departamento en Venta,Publicado hace 36 días,UF3.800,, 75 m² totales," 1 dormitorio, 2 baños",Dataprop Spa,"Cancha, 123, Viña Del Mar, Valparaíso",https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=-33.0278186%2C-71.540591&zoom=16&size=732x300&signature=_kvt-UWhX8fjKJRfo34FM0yhFos=,"Orientación: N,Piscina: No,Estacionamientos: 1,Número de piso de la unidad: 0,Ascensor: Sí,Terraza: Sí,Antigüedad: 9 años,Bodegas: 1","En venta lindo departamento en zona central de viña del MarUbicado en el piso 11, cuenta con 2 dormitorios, 2 baños, living comedor, terraza cerrada con termopanel, estacionamiento y bodega.Se ubica a un costado del Hospital clínico y frente al hospital Gustavo Fricke 2 cuadras del metro. Entre calle Limache y 1 Norte Considerar agregar el 2% `+ IVA por concepto de comisión de corretaje"
https://www.portalinmobiliario.com/MLC-2434502334-departamento-en-venta-en-vina-del-mar-_JM#position=38&search_layout=grid&type=item&tracking_id=6bed89fe-36b1-4bef-bec0-99eb991fa321,Departamento En Venta En Viña Del Mar,Departamento en Venta,Publicado hace 45 días,UF2.900,Gastos comunes aproximados $ 100.000, 52 m² totales," 2 dormitorios, 1 baño",Elitte Propiedades,"(kuc12393) Edificio Bicentenario, Viña Del Mar, Valparaíso",https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=-33.0304235%2C-71.5383625&zoom=16&size=732x300&signature=xKibb3Jrhby7LTgi02KXfKAcEBI=,"Orientación: Nor-Poniente,Piscina: No,Admite mascotas: No,Antigüedad: 14 años,Bodegas: 0,Ascensor: No,Terraza: No,Estacionamientos: 0,Número de piso de la unidad: 0","(KUC12393) Se vende precioso e iluminado departamento en centro de Viña del Mar

Cercano a Mall paseo Viña Centro, Hospital Gustavo Fricke, Rodoviario, colegios, universidades, jardines infantiles, supermercado, mercado, locales comerciales, restaurantes, plazas, teatro municipal de Viña, Quinta Vergara, museos, locomoción a la puerta, estaciones de metro, conectividad con vías principales que conectan Viña del Mar con el resto de las comunas de la región y Santiago.

Departamento iluminado, living comedor con salida a balcón con vista al norte, cocina americana equipada con campana, horno y encimera, cubierta de granito, tiene 2 dormitorios alfombrados, un baño completo y una bodega.

El edificio cuenta con piscinas en la terraza panorámica, gimnasios, sala de eventos, sala de juegos infantiles, lavandería, 3 ascensores por piso, conserjería 24 horas.
Gastos comunes $100.000 aproximados
1 bodega
NO TIENE ESTACIONAMIENTO
Precio rebajado 

47 metros cuadrados útiles aproximados, 5 metros cuadrados de balcón aproximados, informados por el propietario a validad en tasación bancaria.

Para más información o para coordinar una visita, no dude en contactar a Elitte Propiedades a través del correo o vía WhatsApp.
Contamos con la experiencia y respaldo ACOP (Asociación Nacional de Corredores de Propiedades Profesionales). Con un alto estándar de servicio a Todos Nuestros Clientes, Incluyendo Servicios Legales y Notariales."
https://www.portalinmobiliario.com/MLC-2492233928-oportunidad-buen-precio-buen-barrio-buena-ubicacion-_JM#position=15&search_layout=grid&type=item&tracking_id=409d7816-df4a-4538-905f-315ff4cdf417,"Oportunidad!!! Buen Precio, Buen Barrio, Buena Ubicación",Departamento en Venta,Publicado hace 16 días,$110.000.000,Gastos comunes aproximados $ 65.000, 67 m² totales," 3 dormitorios, 1 baño",Casahouse Proyectos Inmobiliarios,"Av. Chile 1 - 300, Viña Del Mar, Chile, Viña Del Mar, Valparaíso",https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=-33.0348327%2C-71.4892511&zoom=16&size=732x300&signature=moymMQE4zKjHTrvw2MCtJVHyVPs=,"Orientación: O,Terraza: Sí,Número de piso de la unidad: 11,Ascensor: Sí,Estacionamientos: 1,Bodegas: 0","Dpto 3D, 1B, Estac. Av Chile* A pasos del troncal que une Viña con Quilpué* Frente a Universidad Técnica Federico Santa María (Sede José Miguel Carrera)* Cercano a Camino InternacionalCaracterísticas- Piso 11- Superficie útil 63m2- Superficie de Terraza 4m2- Superficie total 67m2- 3 Dormitorios- 1 Baño - Conexión a lavadora- Piso Flotante- Orientación Oriente- Estacionamiento - Sin Bodega- Dptos x piso 5Servicios- Piscina- Ascensor- Quincho - Sala Multiuso- Conserjería 24 horas- Juegos infantiles- Áreas VerdesValor de Venta $110,000,000.-Gastos Comunes $65,000.-Contribuciones $XXX"
https://www.portalinmobiliario.com/MLC-1490287527-en-renaca-bajo-cercano-a-playas-y-centros-comer-c221127-_JM#position=6&search_layout=grid&type=item&tracking_id=409d7816-df4a-4538-905f-315ff4cdf417,"En Reñaca Bajo, Cercano A Playas Y Centros Comer. (c221127)",Departamento en Venta,Publicado hace 1 año,$110.000.000,Gastos comunes aproximados $ 48.000, 50 m² totales," 1 dormitorio, 1 baño",Propiedades Pierbattisti,"Avenida José Manuel Balmaceda 833, Valparaíso, Viña Del Mar, Chile, Reñaca, Viña Del Mar, Valparaíso",https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=-32.971053%2C-71.53354&zoom=16&size=732x300&signature=0Wxg7owNeeYl1z98YnFfFl_VhXk=,"Estacionamientos: 1,Bodegas: 1","1 Dormitorio1 Baño50 m² app.Living Comedor Cocina americana TerrazaEstacionamiento Bodega Soleado, acogedorPiscina, conserjeria las 24 hrs. Gasto común: 48.000 CLPExcelente ubicación, cercano a playas y centros comerciales y supermercadosCódigo: C221127"
https://www.portalinmobiliario.com/MLC-2505480520-acogedor-departamento-estilo-mariposa-vista-al-mar-_JM#position=46&search_layout=grid&type=item&tracking_id=a8f20a8d-3333-4e0d-9590-c0670d54d975,Acogedor Departamento Estilo Mariposa Vista Al Mar,Departamento en Venta,Publicado hace 10 días por Property Partners,UF3.150,Gastos comunes aproximados $ 89.998, 49 m² totales," 2 dormitorios, 2 baños",Property Partners,"Viña Del Mar, Agua Santa, Viña Del Mar, Valparaíso",https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=-33.036964%2C-71.5726678&zoom=16&size=732x300&signature=3ImdLPAZMyJOCMqYwifyJOrUowA=,"Orientación: P,Piscina: Sí,Estacionamientos: 1,Número de piso de la unidad: 4,Ascensor: Sí,Admite mascotas: Sí,Antigüedad: 5 años,Bodegas: 0","¡Descubre tu nuevo hogar en Viña del Mar!Este encantador departamento de estilo mariposa ofrece comodidad y funcionalidad en sus 49m2. Con 2 dormitorios y 2 baños, disfrutarás de un diseño moderno y espacioso.Ubicado en el cómodo y acogedor sector de Agua Santa, este departamento ofrece una vista al mar que te enamorará. Además, cuenta con todas las comodidades que necesitas, incluyendo 1 estacionamiento, piscina exterior, lavandería, quincho y salón de eventos.Características del departamento:Superficie: 49m2.Distribución estilo mariposa con 2 dormitorios y 2 baños.Vista al mar desde el interior.Comodidades y servicios:1 estacionamiento.Piscina exterior.Lavandería.Quincho.Salón de eventos.Ubicación:Ubicado en el sector de Agua Santa, Viña del Mar.Cómodo y acogedor entorno.No pierdas la oportunidad de vivir en este maravilloso lugar. ¡Contáctanos hoy mismo para más información y para programar una visita!"
https://www.portalinmobiliario.com/MLC-1483842559-depto-2-dormitorios-2-banos-1-estacionamiento-y-bodega-_JM#position=40&search_layout=grid&type=item&tracking_id=d44267e6-c87d-4b9d-9a68-efce40a9ca16,Depto 2 Dormitorios 2 Baños 1 Estacionamiento Y Bodega,Departamento en Venta,Publicado hace 1 año,UF4.000,, 45 m² totales," 2 dormitorios, 2 baños",Kl Propiedades,"Viana 1155, Centro de Viña del Mar, Viña Del Mar, Valparaíso",https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=-33.0271393%2C-71.5463899&zoom=16&size=732x300&signature=GQ_gaIpwtpFoHS6beKoxjfSX3FU=,Estacionamientos: 1,Departamento2 dormitorios2 baños 1 estacionamiento 1 bodega Edificio cuenta con:PicinaSala multiuso Gimnasio lavanderia
https://www.portalinmobiliario.com/MLC-2436653614-se-vende-depto-ubicado-en-condominio-cumbres-de-renaca-_JM#position=11&search_layout=grid&type=item&tracking_id=306dd98f-c95c-48df-b0c7-74c05c35f5a4,Se Vende Depto Ubicado En Condominio Cumbres De Reñaca,Departamento en Venta,Publicado hace 1 año,UF2.650,Gastos comunes aproximados $ 60.000, 64 m² totales," 3 dormitorios, 2 baños",Le Fame Propiedades,"Estero Maitenlahue, Viña Del Mar, Chile, Reñaca Alto, Viña Del Mar, Valparaíso",https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=-32.9958241%2C-71.4997987&zoom=16&size=732x300&signature=9FfM7P2BF8a-jfU1IiChYSyeFUA=,"Ascensor: Sí,Estacionamientos: 1,Bodegas: 0,Terraza: Sí,Número de piso de la unidad: 19","LE FAME PROPIEDADES vende lindo departamento ubicado en Condominio Cumbres de Reñaca, excelente conectividad a viña del mar, Santiago y Concon.CaracterísticasSuperficie total 64 m²Dormitorios 3Baños 2Estacionamiento 1Departamentos por piso 19Gastos comunes $60.000Comodidades y equipamiento Conserjería 24 horasSalón de usos múltiplesAscensorValor de venta UF 2.650 + 2 % de comisión de corretaje y gestión de venta."
