url,title,type,published,price,maintenance,size,bedrooms,bathrooms,broker,adress,google_maps_pin,secondary_attributes,description
https://www.portalinmobiliario.com/MLC-1437657505-departamento-en-venta-de-2-dorm-en-renaca-_JM#position=6&search_layout=grid&type=item&tracking_id=586a535b-d52c-42d0-8880-97cc207575e3,Departamento En Venta De 2 Dorm. En Reñaca,Departamento en Venta,Publicado hace 3 meses,UF7.500,Gastos comunes aproximados $ 120.000, 77 m² totales, 2 dormitorios, 2 dormitorios,Fuenzalida Propiedades Reñaca,"Reñaca, Reñaca, Viña Del Mar, Valparaíso",https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=-32.9590791%2C-71.5446777&zoom=16&size=732x300&signature=UpuYP20bgYETEnef1rjZtKXA85g=,"Orientación: Sur-poniente,Piscina: Sí,Admite mascotas: No,Antigüedad: 4 años,Bodegas: 1,Ascensor: Sí,Terraza: Sí,Estacionamientos: 2,Número de piso de la unidad: 8","Departamento en venta con vista al mar en Reñaca. La propiedad tiene 2 dormitorios, principal en suite con salida a terraza. Living comedor amplios, cocina con concepto integrado, terraza cerrada con sistema vista libre, 2 estacionamientos subterráneos y 1 bodega. El edificio cuenta con piscina al aire libre y temperada, gimnasio y sala multiuso. Valor de gasto común $ 120.000."
https://www.portalinmobiliario.com/MLC-2177578134-imperdible-buen-barrio-cercano-a-todo-buen-precio-_JM#position=48&search_layout=grid&type=item&tracking_id=fe4938eb-ff1e-4c8a-860b-af421b8a1162,"Imperdible !!! Buen Barrio, Cercano A Todo, Buen Precio",Departamento en Venta,Publicado hace 52 días,UF5.200,Gastos comunes aproximados $ 170.000, 90 m² totales, 2 dormitorios, 2 dormitorios,Casahouse Proyectos Inmobiliarios,"Salvador Vergara 1 - 300, Viña Del Mar, Chile, Reñaca, Viña Del Mar, Valparaíso",https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=-32.9720839%2C-71.5283294&zoom=16&size=732x300&signature=4z8ddG0Tv6PYYF9GC3WIb1ECa_g=,"Orientación: O,Piscina: Sí,Estacionamientos: 2,Número de piso de la unidad: 3,Ascensor: Sí,Terraza: Sí,Antigüedad: 6 años,Bodegas: 1","Venta, Dpto 2D, 2B Reñaca, Viña del Mar (Sector Club Español) Generalidades de interés:* Máxima proyección en términos de Plusvalía* En sector ya consolidado* En residencial sector de Reñaca (Club Español)* Conectividad directa hacia viña y Playa de Reñaca (locomoción colectiva)* Supermercado Tottus a poco más de una cuadra* Colegio Mackay a 2 cuadras* Playa Reñaca a 6 cuadrasCaracterísticas:- Dpto Tipo Mariposa muy amplio- Superficie total 90m2- Superficie de terraza 17m2- Superficie útil 73m2- 2 Dormitorios (3 x 3,5m2) - 2 Baños con ventilación artificial (Ducha tipo Shower, con tineta)- Sanitarios de buena calidad- Cocina americana, con espacio para una isla (2 x 4m2)- Amplia sala de estar (3 x 4m2)- Piso porcelanato imitación madera en estar, cocina y pasillos- Piso Flotante en dormitorios- Espacio en un disimulado tipo de closet para la conexión a lavadora- Cale-fon caldera en terraza al interior de un estéticos mueble (disimulando lo que contiene)- 2 estacionamientos paralelos techados- Bodega de (2 x 1.5m2)- Orientación orienteServicios:- Piscina- Quincho- Gimnasio- Sala Multiuso- Áreas verdes- Bicicletero- Bodega compartidaCondominio:- Conserjería 24 horas- Cámaras de seguridad (con grabación y monitoreo por fono móvil)- Condominio cerrado muy seguroValores:- Valor UF5,200.-- Contribuciones $142,000.- (trimestral)- Gastos comunes $170,000.-"
https://www.portalinmobiliario.com/MLC-1437781755-venta-studio-nuevo-bella-brizza-de-renaca-vina-del-mar-_JM#position=7&search_layout=grid&type=item&tracking_id=13d01c24-c02e-4b2b-80be-3f07b5fde64a,"Venta Studio Nuevo Bella Brizza De Reñaca, Viña Del Mar",Departamento en Venta,Publicado hace 10 meses,UF4.012,, 41.69 m² totales, 1 baño, 1 baño,Valdivieso Gestión Inmobiliaria,"Av. Borgoño 16100, Valparaíso, Viña Del Mar, Chile, Reñaca, Viña Del Mar, Valparaíso",https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=-32.9583167%2C-71.5489112&zoom=16&size=732x300&signature=q_7I5jPqeC_ztIguSIpl0mPk8Ew=,"Orientación: P,Terraza: Sí,Antigüedad: 0 años,Piscina: Sí,Estacionamientos: 0","Studio emplazado en primera línea y con vista al mar. ¡PRONTA ENTREGA!Cocina amoblada y equipada con horno y encimera eléctrica, cubierta de granitoVentanas Thermo Panel, marcos de PVCAmplia terraza con baranda vidriada, orientación ponientePuerta principal con cerradura electrónicaEl edificio cuenta con 2 piscinas, una al aire libre y otra interior temperada; además de gimnasio, salón de eventos y bicicletero.Valor estacionamiento desde UF 500EN VENTA STUDIO DE 56 m2 EN UF 5.114TORRE B ENTREGA INMEDIATAVENTA SIN COMISIÓNPara mayor información:VALDIVIESO GESTIÓN INMOBILIARIAEjecutiva: Catalina Montoya +56 932604642"
https://www.portalinmobiliario.com/MLC-1456293447-vendo-departamento-en-renaca-2d2b-estacionamiento-y-bodega-_JM#position=22&search_layout=grid&type=item&tracking_id=e9efa515-3cd6-4b1c-b49f-adeca10b6c49,Vendo Departamento En Reñaca 2d2b Estacionamiento Y Bodega,Departamento en Venta,Publicado hace 26 días,$200.000.000,Gastos comunes aproximados $ 90.000, 77 m² totales, 2 dormitorios, 2 dormitorios,Brokers Inmobiliarios,"Vendo Departamento En Reñaca 2d2b Estacionamiento Y Bodega, Reñaca, Viña Del Mar, Valparaíso",https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=-32.9721558%2C-71.5271914&zoom=16&size=732x300&signature=Z72YSXeI9mRokzJ-if_fkRLZDrM=,"Orientación: SO,Piscina: Sí,Admite mascotas: Sí,Antigüedad: 15 años,Bodegas: 1,Ascensor: No,Terraza: Sí,Estacionamientos: 1,Número de piso de la unidad: 3","SE VENDE luminoso y amplio departamento en Reñaca, sector Salvador Vergara . Recién renovado.Departamento 2 dormitorios 2 baños, amplio living comedor, cocina tradicional con logia.Cuenta con un hall de distribución, living comedor luminoso con terraza que recorre todo el departamento, todos los ventanales son de termopanel; incluyendo los dormitorios, baño principal en suite con ventilación natural y shower door.Se considera estacionamiento en superficie y bodega.Emplazado en una excelente zona residencial de Reñaca, se encuentra cercano a supermercados, restaurantes, centros comerciales y educacionales. Acceso a la playa en 10 minutos, como al centro de Reñaca.El condominio cuenta con: Seguirida, portería y conserje 24/7, Piscina, zona de juegos infantiles.Contribuciones $ 200.000Comisión 2%+IVA"
https://www.portalinmobiliario.com/MLC-2114027076-tejada-departamento-de-lujo-en-jardin-del-mar-4d4b3e-_JM#position=37&search_layout=grid&type=item&tracking_id=5cf9f608-4b52-4633-b481-8c6211e5525b,Tejada Departamento De Lujo En Jardín Del Mar 4d+4b+3e,Departamento en Venta,Publicado hace 1 año,UF12.500,Gastos comunes aproximados $ 240.000, 230 m² totales, 4 dormitorios, 4 dormitorios,Tejada Propiedades,"Avenida Jardines De Reñaca 123, Viña Del Mar, Chile, Reñaca, Viña Del Mar, Valparaíso",https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=-32.9781485%2C-71.5269457&zoom=16&size=732x300&signature=Tw7m-TqQrAXNpQ4SDTAKtl5CCb8=,"Estacionamientos: 3,Bodegas: 1","PROPIEDAD EMPLAZADA EN JARDIN DEL MARDEPARTAMENTO DE LUJO-DUPLEXTERMOPANEL3 ESTACIONAMIENTOS CUBIERTOSBODEGA2 PISCINASQUNCHOS AREAS VERDESGIMNASIO1ER NIVEL:HALL ACCESO, PUERTAS FRANCESASLIVING COMEDOR AMPLIO VISTA FULL PONIENTECOCINA CON COMEDOR DE DIARIOBAÑO DE VISITAS2 DORMITORIOSBAÑO COMPLETOGRAN DORMITORIO PRINCIPAL EN SUITE Y W-CLOSET2DO NIVEL:1 DORMITORIO AMPLIOBODEGASBAÑO COMPLETOSALA DE ESTAR CON SALIDA A TERRAZA PANORAMICAESCRITORIO EN DOBLE ALTURA O UN 5TO DORMITORIOGASTOS COMUNES APROX $240.000 INLCUIDA EL AGUADIRECCION REFERENCIAL"
https://www.portalinmobiliario.com/MLC-1449110691-tejada-impecable-depto-gaston-hamel-3d-estar-3b-1e-1b-_JM#position=34&search_layout=grid&type=item&tracking_id=3654a73f-c6f6-4ecb-90d7-2c194e50449c,Tejada Impecable Depto Gaston Hamel 3d + Estar 3b 1e 1b,Departamento en Venta,Publicado hace 7 meses,UF8.700,Gastos comunes aproximados $ 250.000, 140 m² totales, 3 dormitorios, 3 dormitorios,Tejada Propiedades,"Avenida Gastón Hamel Nieto, Viña Del Mar, Chile, Reñaca, Viña Del Mar, Valparaíso",https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=-32.9609264%2C-71.5395485&zoom=16&size=732x300&signature=47z2XHrUs91wW1zPdlk614jWSaY=,"Orientación: P,Piscina: Sí,Admite mascotas: Sí,Bodegas: 1,Ascensor: Sí,Terraza: Sí,Estacionamientos: 1","PROPIEDAD EMPLAZADA EN GASTON HAMELDEPARTAMENTO DE LUJO , CON EXCELENTE UBICACIONORIENTACION ORIENTE Y PONIENTETERMOPANELHALL ACCESOLIVING COMEDOR CON SALIDA A TERRAZACOCINA EQUIPADA CON COMEDOR DE DIARIOLOGGIA INCORPORADABAÑO DE VISITA2 DORMTIORIOS MUY AMPLIOSCON ORIENTACION ORIENTE (SOL DE MAÑANA)BAÑO COMPLETOSALA DE ESTAR CON SALIDA A TERRAZA O 4TO DOMIROTORIODORMITORIO EN SUITECON SALIDA A TERRAZA1 ESTACIONAMIENTO SUBTERRANEO1 BODEGAGASTO COMUN $250.000CONSERJERIA 24/7DIRECCION REFERENCIALCOD 2023150"
https://www.portalinmobiliario.com/MLC-2244755148-tejada-vende-departamento-jardin-del-mar-2d1b-_JM#position=8&search_layout=grid&type=item&tracking_id=039c37be-faee-40ad-8d85-440b1969aaac,Tejada Vende Departamento Jardín Del Mar 2d+1b,Departamento en Venta,Publicado hace 6 meses,$145.000.000,, 65 m² totales, 2 dormitorios, 2 dormitorios,Tejada Propiedades,"Jardín Del Mar, Viña Del Mar, Chile, Reñaca, Viña Del Mar, Valparaíso",https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=-32.9763982%2C-71.5394676&zoom=16&size=732x300&signature=YqpZWuju7ZomAfogCVZwY9NXfKM=,"Piscina: Sí,Estacionamientos: 1,Terraza: Sí,Bodegas: 1",PROPIEDAD EMPLAZADA EN JARDIN DEL MARPISO 22 DORMITORIOS1 BAÑO1 ESTACIONAMIENTO1 BODEGACOCINA SEMI CERRADATERRAZA SOLEADAPISCINAAREAS VERDESG.C.$120.000CONTRIBUCIONES $70.000Y BODEGA $10.000DIRECCION REFERENCIALCOD 2023172
https://www.portalinmobiliario.com/MLC-1990276924-se-vende-depto-ubicado-en-edmundo-eluchans-_JM#position=25&search_layout=grid&type=item&tracking_id=93634c81-374a-42f8-b4e0-eda79403e3b5,Se Vende Depto Ubicado En Edmundo Eluchans,Departamento en Venta,Publicado hace 4 meses,UF3.590,, 45 m² totales, 1 dormitorio, 1 dormitorio,Inmobiliaria Los Lagos,"Avenida Edmundo Eluchans, Viña Del Mar, Concón, Chile, Reñaca, Viña Del Mar, Valparaíso",https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=-32.9593263%2C-71.5443766&zoom=16&size=732x300&signature=85_uTa1X4Q_ZRN7fxvn6X5VmDYs=,"Estacionamientos: 1,Bodegas: 1",".....SE VENDE A PUERTAS CERRADAS..... La dueña solo retirará de la propiedad el tv y el refrigerador. Hermoso y exclusivo departamento en el mejor sector de Reñaca. Gastos Comunes $90.000.-. Contribuciones $100.000.-. El Depto. tiene app 45 mts2. La propiedad tiene 1 Dormitorio y 1 Baño. Piso de porcelanato en Living, Cocina, Baño y Terraza. El Baño y la Cocina tienen paredes de cerámica. El Dormitorio principal tiene Baño. El Baño tiene  Tina tradicional con  ducha,   shower, door  y Vanitorio. El Dormitorio tiene piso flotante además tiene  gran walking closet,. Se vende con Estacionamiento subterráneo y Bodega. Cocina americana tiene Campana, Encimera, Horno empotrado. Se puede  ir a la playa, Caminando en  10 minutos y en auto 4min.. Además cruzando la calle, está cercano a Supermercados, restaurantes y Locales comerciales . Cuenta con Sauna y Jacuzzi, Piscina temperada, Piscina exterior , Mesa de pool ,  Quinchos y Gimnasio . El condominio tiene Estacionamiento de visitas,. El condominio tiene Seguridad las 24 horas,  Cámaras de seguridad y Portón automático."
https://www.portalinmobiliario.com/MLC-2076281646-espectacular-dpto-con-vista-al-mar-ed-grecomar-renaca-_JM#position=29&search_layout=grid&type=item&tracking_id=6425b828-d0a9-41f3-a082-0749a6fb7249,"Espectacular Dpto., Con Vista Al Mar. Ed. Grecomar Reñaca. ",Departamento en Venta,Publicado hace 1 año,UF11.500,Gastos comunes aproximados $ 200.000, 180 m² totales, 4 dormitorios, 4 dormitorios,Rentadeco,"Avenida Edmundo Eluchans, Viña Del Mar, Concón, Chile, Reñaca, Viña Del Mar, Valparaíso",https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=-32.9593263%2C-71.5443766&zoom=16&size=732x300&signature=85_uTa1X4Q_ZRN7fxvn6X5VmDYs=,"Orientación: NP,Terraza: Sí,Número de piso de la unidad: 17,Piscina: Sí,Estacionamientos: 3,Bodegas: 2","Av. Edmundo eluchansPiso 17 depto 171Muy asoleadoEspectacular vista al marImpecable estado140 metros utiles40 metros de terrazasHall de entradaLiving comedorAmplia cocina con loggia3 dormitorios amplios2 dormit en suite3 baños, visita o 4 to bañoFamily roomDormit de servicio o escritorio3 estac y 2 bodegas"
https://www.portalinmobiliario.com/MLC-1428966631-departamento-tipo-casa-con-linda-vista-y-cercania-al-mar-_JM#position=33&search_layout=grid&type=item&tracking_id=99b8a920-c95e-49a5-9432-8b0380ee21b5,"Departamento Tipo Casa, Con Linda Vista Y Cercanía Al Mar",Departamento en Venta,Publicado hace 4 meses,UF12.600,, 220 m² totales, 4 dormitorios, 4 dormitorios,Bds Propiedades,"Bellavista 600 - 900, Viña Del Mar, Chile, Reñaca, Viña Del Mar, Valparaíso",https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=-32.9623439%2C-71.5452775&zoom=16&size=732x300&signature=5Q0f6XDcP5wi2BN5IMKxKlsIoZQ=,"Ascensor: No,Terraza: Sí,Estacionamientos: 3,Número de piso de la unidad: 2,Piscina: No,Admite mascotas: No,Antigüedad: 29 años,Bodegas: 1","BDS Propiedades vende excelente departamento tipo casa, muy cercano a la playa y con linda vista al mar.El edificio fue construido por sus dueños para vivir en él, por lo que hicieron una construcción muy segura, totalmente en concreto armado.El departamento se encuentra en el piso 2 de un total de 3 y es 1 unidad por piso.Se emplaza muy cerca de la Comisaría de Reñaca.Se caracteriza por sus amplios espacios, puertas de lenga, hall con piso de mármol, pisos de madera en algunos lugares y luces led de bajo consumo en todo el departamento.Calefacción por aire (gas) y estufa bosca.Se distribuye de la siguiente manera:- Gran hall de entrada con piso de mármol.- Baño de visitas.- Living comedor con salida a amplia terraza vidriada.- Cocina equipada con horno eléctrico, encimera y campana. Muebles nuevos, cubiertas de granito y comedor de diario.- Logia- Pieza y baño de servicio, alejada de la cocina, por lo que se puede usar como cuarto dormitorio.- Dormitorio principal en suite, con salida a terraza y baño con shower.- Otros 2 dormitorios de buen tamaño que comparten 1 baño....no paga gastos comunes....."
