url,title,published,price,maintenance,size,bedrooms,bathrooms,broker,adress,google_maps_pin,secondary_attributes,description,type
https://www.portalinmobiliario.com/MLC-1432798771-oportunidad-departamento-en-renaca-amplio-y-con-vista-_JM#position=38&search_layout=grid&type=item&tracking_id=aa0764c7-0b1a-4aae-b53d-680aa0003665,Oportunidad Departamento En Reñaca Amplio Y Con Vista,Publicado hace 3 meses,UF7.450,Gastos comunes aproximados $ 145.000, 100 m² totales, 3 dormitorios, 3 dormitorios,Viel.cl,"Las Golondrinas / Los Mirlos, Reñaca, Viña Del Mar, Valparaíso",https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=-32.9584798%2C-71.5428964&zoom=16&size=732x300&signature=xY6NAfR9cM-g1Yo__koJbQX6dWo=,"Orientación: Nor-Poniente,Piscina: Sí,Admite mascotas: Sí,Antigüedad: 11 años,Bodegas: 1,Ascensor: Sí,Terraza: Sí,Estacionamientos: 2,Número de piso de la unidad: 18","{COD-101.454}

Departamento ubicado en el exclusivo sector residencial de las Golondrinas de Reñaca, a pasos de áreas verdes, movilización, comercio y servicios de Avenida Edmundo Eluchans, Reñaca.

Departamento cómodo, elegante y de espacios bien distribuidos con una maravillosa vista panorámica hacia el poniente.
Hall de distribución que dirigen hacia un living/comedor de buen tamaño que dan a una amplia terraza cerrada con cierre de cristal vista libre.
Cocina bien equipada con cubierta de granito, desayunador y conexión para lavadora.
Dormitorio principal con gran vista, clósets y un baño en suite bien iluminado con ventana y cubiertas de mármol.
Dos dormitorios de buen tamaño que comparten un baño con muebles con cubierta de mármol, ventilación y luz natural
2 estacionamientos y 1 bodega.

Edificio con amplias áreas verdes,piscina exterior, sala de juegos, sala de juegos infantiles (interior y exterior), gimnasio, piscina temperada, lavandería, rampa acceso para personas con discapacidad, seguridad 24/7.

Características:
Sup. útil:90
Sup. de terraza:10
Sup. total:100
Dorm.:3
Baños :2
Num. estacionamientos:2
Bodega: 1

Otros:
Piso:18
Orientación:Nor-Poniente
Sup. de terraza:10
Gastos Comunes:$ 145.000
Contribuciones:$ 152.422

Características del Edificio: 
Año de construcción:2013
Nº de pisos:26
Nº ascensores:2
Departamentos por piso:4
Piscina: 1",Departamento en Venta
https://www.portalinmobiliario.com/MLC-2255800400-en-venta-espectacular-departamento-magnifica-vista-al-mar-_JM#position=2&search_layout=grid&type=item&tracking_id=eb8b95a8-c193-4dd2-a874-601df5a41d87,En Venta Espectacular Departamento Magnífica Vista Al Mar ,Publicado hace 9 días,UF13.800,Gastos comunes aproximados $ 230.000, 158 m² totales, 4 dormitorios, 4 dormitorios,Tania Barriga Gestión Inmobiliaria & Asesorías L.,"Avenida Edmundo Eluchans 1500 - 1800, Viña Del Mar, Chile, Reñaca, Viña Del Mar, Valparaíso",https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=-32.9600926%2C-71.5448674&zoom=16&size=732x300&signature=e6MLJbKDEfnqcOR2k5Ank54S9cY=,"Orientación: NP,Piscina: Sí,Admite mascotas: Sí,Antigüedad: 2009 años,Bodegas: 1,Ascensor: Sí,Terraza: Sí,Estacionamientos: 2,Número de piso de la unidad: 15","Inserto en Reñaca primera línea, zona segura, esquina Edmundo Eluchans, donde se oye y aprecia desde alto la gran vista a toda la bahía hasta Concón; cercano a colegios, supermercados y variados centros comerciales, este departamento goza de esta excelente ubicación. 3 habitaciones 3 baños, 4ta habitación o escritorio, cocina amplia con logia independiente. Se vende amoblado, diseño y decoración exclusiva. Ventanas Termopanel, gran terraza con vista panorámica cerrada con cristales. Dos estacionamientos subterráneos en tándem, 1 bodega. Edificio con azotea de vista despejada y espectacular; salón multiuso para grandes eventos. Piscina exterior, piscina temperada, sauna con vista al Mar, baño de vapor, para disfrutar de residencia principal o pasar unas espléndidas vacaciones en cualquier época del año. Lavandería.Acceso controlado, recepción 24hrs. Estacionamiento para visitas.Ggcc $230.000-A pasos de la Playa de Reñaca.",Departamento en Venta
https://www.portalinmobiliario.com/MLC-2154794822-broker-jardin-del-mar-2d-2b-1e-1bod-_JM#position=32&search_layout=grid&type=item&tracking_id=894d2e77-617d-4b00-adb3-b04ffde720be,Broker Jardin Del Mar 2d-2b-1e-1bod,Publicado hace 8 meses,UF4.400,Gastos comunes aproximados $ 125.000, 64 m² totales, 2 dormitorios, 2 dormitorios,Broker Inmobiliario Chile Spa,"Los Sargazos 300 - 600, Viña Del Mar, Chile, Reñaca, Viña Del Mar, Valparaíso",https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=-32.9747927%2C-71.5362203&zoom=16&size=732x300&signature=rf5XN_Zn1l_9azHBLpRtv--wiqA=,"Orientación: NP,Piscina: Sí,Admite mascotas: Sí,Antigüedad: 15 años,Bodegas: 1,Ascensor: Sí,Terraza: No,Estacionamientos: 1,Número de piso de la unidad: 1",PROPIEDAD EMPLAZADA EN JARDIN DEL MARDEPARTAMENTO  CON GRAN VISTA Y LUZSOLEADO2 DORMITORIOS MUY AMPLIOS2 BAÑOS1 ESTACIONAMIENTO1 BODEGA GRANDEOTRIENTACION NOR PONIENTETERRAZA AMPLIA CERRADACOCINA SEMI ABIERTA CONEXIÓN DE LAVADORAPISCINA AIRE LIBRE7MO PISOGASTOS COMUNES $125.000CONTRIBUCIONES $140.000DIRECCION REFERENCIAL,Departamento en Venta
https://www.portalinmobiliario.com/MLC-2259896662-amplio-y-muy-comodo-_JM#position=43&search_layout=grid&type=item&tracking_id=a73f651f-ecfa-4725-a5b9-bcf7ceeaee33,Amplio Y Muy Cómodo,Publicado hace 9 meses,UF7.500,Gastos comunes aproximados $ 190.000, 128 m² totales, 4 dormitorios, 4 dormitorios,Andrea Mas Huber Propiedades,"Jardín Del Mar, Viña Del Mar, Chile, Reñaca, Viña Del Mar, Valparaíso",https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=-32.9763982%2C-71.5394676&zoom=16&size=732x300&signature=YqpZWuju7ZomAfogCVZwY9NXfKM=,"Orientación: NP,Bodegas: 1,Estacionamientos: 1","GRANDE, MUY CÓMODO Y SOLEADOCON VISTA LEJANA AL MARLIVING Y COMEDOR CON SALIDA A LA TERRAZACUATRO DORMITORIOS UNO DE ESTOS EN SUITEBAÑO DE VISITASMAS DOS BAÑOS  COMPLETOSCOCINA AMPLIA CON LOGIAUN ESTACIONAMIENTO ( SE VENDE OTRO APARTE) UNA BODEGAEL EDIFICIO CUENTA CON JARDINES, PISCINA, SALON DE EVENTOS, GIMNASIO,LAVANDERIA,",Departamento en Venta
https://www.portalinmobiliario.com/MLC-1456960417-departamento-av-la-foresta-renacalos-mirlos-_JM#position=15&search_layout=grid&type=item&tracking_id=5e8c700c-da1b-409e-8e60-be063d4c3a03,Departamento Av. La Foresta Reñaca/los Mirlos,Publicado hace 23 días,$240.000.000,Gastos comunes aproximados $ 100.000, 102 m² totales, 2 dormitorios, 2 dormitorios,Procasa Adrián Ulloa Propiedades,"Av. La Foresta Reñaca/los Mirlos, Reñaca, Viña Del Mar, Valparaíso",https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=-32.9562327%2C-71.5439884&zoom=16&size=732x300&signature=FMbZG4lJ7Z7eNUli6EuFVlJJrEM=,"Orientación: S,Piscina: Sí,Admite mascotas: No,Antigüedad: 1 años,Ascensor: Sí,Terraza: Sí,Estacionamientos: 1,Número de piso de la unidad: 7","(LT) PROCASA VENDE LUJOSO DEPARTAMENTO EN REÑACA.
La propiedad cuenta con 2 habitaciones, 2 baños uno en suite, ambas habitaciones contienen closet, calefacción vía muro eléctricos, gym y sauna en primer piso, quincho panorámico en piso número 20, piscina panorámica en piso 20 con 2 jacuzzi en el mismo sector, sala multiuso piso número 20 con vista panorámica hacía el mar, conserjería 24/7, estacionamiento para 1 vehículo, entre otros.
El inmueble está cercano a centro medico clínica Ciudad Del Mar, playa Cochoa, parque La Foresta Reñaca, colegio Alianza Francesa, facultad de Ciencias del Mar y de Recursos Naturales, mirador Playa Cochoa.
Sin dudas un excelente lugar para vivir en familia o por que no invertir para obtener ingresos extras
¡ NO DEJE PASA EXCELENTE OPORTUNIDAD Y AGENDE SU VISITA !  Procasa: 62556",Departamento en Venta
https://www.portalinmobiliario.com/MLC-2232919092-depto-en-venta-bellavista-renaca-_JM#position=39&search_layout=grid&type=item&tracking_id=5e8c700c-da1b-409e-8e60-be063d4c3a03,Depto En Venta Bellavista / Reñaca ,Publicado hace 6 meses,$350.000.000,, 81 m² totales, 3 dormitorios, 3 dormitorios,Cobo Propiedades,"Bellavista 275, Viña Del Mar, Chile, Reñaca, Viña Del Mar, Valparaíso",https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=-32.9678535%2C-71.5444368&zoom=16&size=732x300&signature=6wa-_C_CLjjde3pwFOiqUpGLOhI=,Estacionamientos: 1,Estupendo departamento con terrazas incorporadas al departamento.Cuenta con tres dormitorios y dos bañosPisos de mármol y finas terminaciones. Vale la pena ver,Departamento en Venta
https://www.portalinmobiliario.com/MLC-1451906747-general-bulnes-_JM#position=30&search_layout=grid&type=item&tracking_id=eb8b95a8-c193-4dd2-a874-601df5a41d87,General Bulnes,Publicado hace 43 días,UF13.990,Gastos comunes aproximados $ 250.000, 190.5 m² totales, 4 dormitorios, 4 dormitorios,Mi Llave,"General Bulnes, Reñaca, Viña Del Mar, Valparaíso",https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=-32.970683%2C-71.530759&zoom=16&size=732x300&signature=KtLralL5EMyx8YDJsaV3HbDEfWI=,"Orientación: NP,Piscina: Sí,Admite mascotas: No,Antigüedad: 4 años,Bodegas: 1,Ascensor: No,Terraza: Sí,Estacionamientos: 2,Número de piso de la unidad: 5","@bellagiopropiedades.vl  V E N D E Departamento nuevo (solo 1 año de uso), en impecable estado, exclusivo y elegante. Vista única y despejada al valle de Reñaca.Departamento amplio, cómodo, confortable.Terminaciones de primer nivel en Condominio  sector Los Almendros de Reñaca.Condominio desarrollado en concepto de Country ,barrio privado rodeado de amplias áreas verdes y naturaleza , en un tradicional y selecto sector residencial de Reñaca, el mar y la abundante naturaleza te darán la experiencia única de vivir lo suficientemente cerca del balneario más importante de la V Región, pero a una distancia adecuada para llevar una vida tranquila y apacible con tu pareja, familia o seres queridos.Considera 3 dormitorios, con el principal en suite, abundantes  closets, 1 home office, gran living-comedor y gran terraza con amplia vista despejada:- Dormitorio principal en Suite- Baño principal con shower door- Amplios Hall de acceso- Horno, microondas, encimeras eléctrica vitrocerámica- Cubierta de mesón de cuarzo y moderno diseño de muebles.- Piso flotante de madera y porcelánicos- Baño de visitas- Puertas y molduras enchapadas en madera natural- Ventanas en PVC folio madera con termopanel.- Terrazas con barandas de cristal y antepecho de hormigón- Baño suite principal con vista panorámicaCondominio con gran equipamiento:- Amplios jardines para esparcimiento diario- Cancha de tenis- Piscina temperada Indoor- Piscinas Exteriores- Gimnasio- Salón gourmet- Quinchos- Cancha de pádel- Juegos Infantiles- RecepciónTienes que conocerlo¡¡",Departamento en Venta
https://www.portalinmobiliario.com/MLC-2109782886-departamento-estilo-mariposa-_JM#position=5&search_layout=grid&type=item&tracking_id=3a063fe4-4df5-4ea6-a5d6-d06696b31de9,Departamento Estilo Mariposa ,Publicado hace 2 meses por Property Partners,UF6.400,Gastos comunes aproximados $ 150.000, 77 m² totales, 2 dormitorios, 2 dormitorios,Property Partners,"Viña Del Mar, Reñaca, Viña Del Mar, Valparaíso",https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=-32.9593263%2C-71.5443766&zoom=16&size=732x300&signature=85_uTa1X4Q_ZRN7fxvn6X5VmDYs=,"Orientación: S,Piscina: Sí,Admite mascotas: Sí,Antigüedad: 3 años,Bodegas: 1,Ascensor: Sí,Terraza: Sí,Estacionamientos: 1,Número de piso de la unidad: 4","Lindo e impecable departamento estilo mariposa, con linda vista a Valparaiso, gran terraza de 14 M2, muy buenas terminaciones , ambas piezas con walking closet, cómoda cocina americana con amplio mesón comedor El edificio cuenta con excelentes áreas comunes. Construcción 2021 DEPARTAMENTO- Living comedor- Gran terraza de 14 M""- Cocina americana muy cómoda y con harto mueble- Dormitorio principal en suite y con walking closet y salida a terraza- Dormitorio en suite con walking closet y salida a terraza- Instalación para lavadora en closetEQUIPAMIENTO- Calefacción por radiadores- Ventanales termopanel- Cubiertas de Silestone- Piso porcelanato- Caldera independiente - Espacio para lavavajilla - Cortinas roller- Luces - Estacionamiento- Bodega EXTERIOR - Piscina exterior - Piscina temperada en piso 25- 4 Quinchos en piso 25- Sauna - Sala gourmet- Salon infantil- Gimnasio- Lavandería- Seguridad 24/7",Departamento en Venta
https://www.portalinmobiliario.com/MLC-2151452398-oportunidad-buena-vista-buen-precio-buena-ubicacion-_JM#position=48&search_layout=grid&type=item&tracking_id=3a063fe4-4df5-4ea6-a5d6-d06696b31de9,"Oportunidad!!! Buena Vista, Buen Precio, Buena Ubicación",Publicado hace 2 meses,UF4.570,Gastos comunes aproximados $ 120.000, 80 m² totales, 3 dormitorios, 3 dormitorios,Casahouse Proyectos Inmobiliarios,"Avenida José Manuel Balmaceda 600 - 900, Viña Del Mar, Chile, Reñaca, Viña Del Mar, Valparaíso",https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=-32.971172%2C-71.5342241&zoom=16&size=732x300&signature=-oqTtabyhKzvTILNrkzXgkmwums=,"Orientación: SP,Piscina: Sí,Estacionamientos: 1,Número de piso de la unidad: 5,Ascensor: Sí,Terraza: Sí,Antigüedad: 25 años,Bodegas: 1","Venta, Departamento 3D, 2B, Reñaca, Viña del Mar (Sector Club Español) Generalidades de interés:* En sector ya consolidado* En residencial sector de Reñaca* Conectividad directa hacia viña y Playas de Reñaca* Cercano al Club Español y al colegio McKay* Supermercado Tottus a pasosCaracterísticas:- Piso 5- Estar - comedor (amplio)- 3 dormitorios - 2 baños- Cocina cerrada- Loggia con lavadero y conexiones para lavadora- 80m2 totales- 1 Estacionamiento (Subterráneo)- Piso flotante en todo el Dpto. - Piso cerámico en cocina, baños y terraza- Ventanales de Aluminio (obscuro)Servicios- Piscina Exterior- Servicio de lavandería (Maq. Lavadoras y secadoras)- Sala Multiuso- 4 departamentos por piso - Conserjería 24 horas– Valor Venta UF4,570.-– Gastos comunes $120,000.-- Contribuciones $XX,000.-",Departamento en Venta
https://www.portalinmobiliario.com/MLC-1439928431-espectacular-departamento-en-venta-cochoa--_JM#position=1&search_layout=grid&type=item&tracking_id=99ae461b-cdd7-4b3e-b8ca-490fc41b8463,Espectacular Departamento En Venta Cochoa !!!,Publicado hace 2 meses,UF7.500,, 67 m² totales, 2 dormitorios, 2 dormitorios,Activo Propiedades,"Reñaca, Viña Del Mar, Valparaíso",https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=-32.9540044%2C-71.5462308&zoom=16&size=732x300&signature=MArhhiq5l1CRzLXlfXV8Xixfcck=,"Ascensor: Sí,Terraza: Sí,Estacionamientos: 1,Bodegas: 0,Piscina: Sí,Admite mascotas: No,Antigüedad: 0 años","Amplio, soleado, cómodo, equipado y con una privilegiada vista al mar. Este espectacular departamento se encuentra en el sector de Cochoa, a minutos de Reñaca y Concón, cuenta con buena conectividad y a pasos de la playa. Se vende amoblado ,ideal para inversión.Departamento: - 2 Dormitorios, principal en suite- 2 Baños- Terraza- Cocina americana- Living comedor - Estacionamiento- Bodega- Vista privilegiada al marEdificio:- Conserjería 24/7- Gimnasio- Lavandería- Sauna- Piscina- Jacuzzi- Quinchos con vista panorámica a todo el borde costero- Zona deportiva al aire libre- TerrazasGastos Comunes $110.000 app",Departamento en Venta
